trade_id,entry_date,entry_day,strategy,index,lots,entry_prem,exit_prem,actual_pnl,lot_size_used,recon_sign,expected_pnl,implied_multiplier,recon_error,pnl_reconciles,pnl_engine,pnl_engine_reason,structure_incomplete,canonical_won,followed_app
51,2026-04-07T09:49:01.344+00:00,2026-04-07,BULL_CALL,NF,1.0,20.8,259.6,15522.0,65.0,-1.0,15522.0,-65.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
52,2026-04-08T05:39:24.204+00:00,2026-04-08,IRON_BUTTERFLY,NF,1.0,274.2,148.65,8161.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
53,2026-04-08T05:39:30.431+00:00,2026-04-08,IRON_CONDOR,NF,1.0,10.75,4.85,384.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
54,2026-04-08T05:39:37.515+00:00,2026-04-08,IRON_BUTTERFLY,BNF,1.0,848.75,535.05,9411.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
55,2026-04-08T05:39:43.87+00:00,2026-04-08,IRON_CONDOR,BNF,1.0,367.75,103.4,7931.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
56,2026-04-08T07:00:01.616+00:00,2026-04-08,IRON_BUTTERFLY,NF,1.0,274.25,151.9,7953.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
57,2026-04-08T07:00:09.788+00:00,2026-04-08,IRON_CONDOR,NF,1.0,15.35,7.1,536.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
58,2026-04-08T07:00:15.958+00:00,2026-04-08,IRON_BUTTERFLY,BNF,1.0,846.45,531.9,9436.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
59,2026-04-08T07:00:24.39+00:00,2026-04-08,IRON_CONDOR,BNF,1.0,421.25,259.85,4842.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
60,2026-04-08T09:50:55.312+00:00,2026-04-08,IRON_CONDOR,BNF,1.0,310.3,97.85,6374.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
61,2026-04-08T09:51:01.814+00:00,2026-04-08,IRON_CONDOR,BNF,1.0,369.85,116.05,7614.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
62,2026-04-08T09:51:15.219+00:00,2026-04-08,IRON_CONDOR,BNF,1.0,124.65,71.2,1604.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
63,2026-04-08T09:51:29.712+00:00,2026-04-08,IRON_CONDOR,NF,1.0,11.15,2.95,533.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
64,2026-04-08T09:51:45.451+00:00,2026-04-08,IRON_CONDOR,NF,1.0,15.25,3.9,738.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
65,2026-04-08T09:51:53.888+00:00,2026-04-08,IRON_CONDOR,BNF,1.0,310.3,97.85,6374.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
66,2026-04-09T05:12:15.778+00:00,2026-04-09,BEAR_CALL,BNF,1.0,448.15,373.65,2235.0,30.0,1.0,2235.0,30.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
67,2026-04-09T05:16:11.365+00:00,2026-04-09,IRON_BUTTERFLY,NF,1.0,278.0,152.65,8148.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
68,2026-04-09T05:16:23.871+00:00,2026-04-09,IRON_CONDOR,BNF,1.0,455.0,286.15,5066.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
69,2026-04-09T05:16:33.632+00:00,2026-04-09,IRON_BUTTERFLY,BNF,1.0,854.65,531.05,9708.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
70,2026-04-09T06:28:41.961+00:00,2026-04-09,IRON_CONDOR,NF,1.0,83.15,35.6,3091.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
71,2026-04-09T06:28:50.349+00:00,2026-04-09,IRON_CONDOR,BNF,1.0,454.6,237.9,6501.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
72,2026-04-09T09:47:08.662+00:00,2026-04-09,BEAR_CALL,NF,1.0,44.35,66.1,-1414.0,65.0,1.0,-1413.7499999999995,65.01149425287359,-0.25000000000045475,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
73,2026-04-09T09:47:15.73+00:00,2026-04-09,BEAR_CALL,NF,1.0,55.5,82.65,-1765.0,65.0,1.0,-1764.7500000000005,65.00920810313075,-0.24999999999954525,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
74,2026-04-09T09:47:22.876+00:00,2026-04-09,BEAR_CALL,BNF,1.0,200.35,251.15,-1524.0,30.0,1.0,-1524.0000000000005,29.999999999999993,4.547473508864641e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
75,2026-04-09T09:47:29.685+00:00,2026-04-09,BEAR_CALL,BNF,1.0,248.05,307.6,-1787.0,30.0,1.0,-1786.5000000000005,30.00839630562552,-0.49999999999954525,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
76,2026-04-10T06:01:18.007+00:00,2026-04-10,BEAR_CALL,BNF,1.0,416.65,430.5,-416.0,30.0,1.0,-415.5000000000007,30.03610108303244,-0.4999999999993179,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
77,2026-04-10T08:53:57.531+00:00,2026-04-10,IRON_CONDOR,NF,1.0,15.35,6.8,556.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
78,2026-04-10T08:54:03.726+00:00,2026-04-10,IRON_BUTTERFLY,NF,1.0,228.9,129.5,6461.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
79,2026-04-10T08:54:20.681+00:00,2026-04-10,IRON_CONDOR,BNF,1.0,526.85,315.7,6335.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
80,2026-04-10T08:54:28.248+00:00,2026-04-10,IRON_BUTTERFLY,BNF,1.0,829.95,500.1,9895.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
81,2026-04-10T09:48:54.181+00:00,2026-04-10,BEAR_CALL,NF,1.0,32.35,0.25,2087.0,65.0,1.0,2086.5,65.01557632398753,0.5,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
82,2026-04-10T09:49:00.034+00:00,2026-04-10,BEAR_CALL,NF,1.0,38.0,0.35,2447.0,65.0,1.0,2447.25,64.9933598937583,-0.25,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
83,2026-04-10T09:49:05.295+00:00,2026-04-10,BEAR_CALL,BNF,1.0,189.65,107.0,2480.0,30.0,1.0,2479.5,30.00604960677556,0.5,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
84,2026-04-10T09:49:09.869+00:00,2026-04-10,BEAR_CALL,BNF,1.0,232.7,155.2,2325.0,30.0,1.0,2325.0,30.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
85,2026-04-13T04:06:04.33+00:00,2026-04-13,IRON_CONDOR,BNF,1.0,454.55,325.05,3885.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
