snapshot_id,day,menu_size_real,context_rows,context_win_rate_pnl_positive,model_pick_id,model_pick_role,model_pick_strategy,model_predicted_pnl,model_pick_pnl,brain_primary_id,brain_primary_strategy,brain_primary_pnl,menu_avg_pnl_including_no_trade,oracle_pick_id,oracle_pick_strategy,oracle_pnl_including_no_trade,latency_sec
1449,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,519.3131103515625,-795.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,655.5,231.6,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1333.5,16.78234650399827
1450,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,526.9207153320312,-1185.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,795.0,505.6,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1567.5,16.78234650399827
1451,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,527.6767578125,-1173.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,750.0,464.3,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1483.5,16.78234650399827
1452,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,527.5119018554688,-1173.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,750.0,464.3,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1483.5,16.78234650399827
1453,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,526.271484375,-1104.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,763.5,505.6,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1543.5,16.78234650399827
1454,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_57000_56200_W800,secondary,BULL_PUT,501.22576904296875,-1489.5,BEAR_CALL_BNF_58000_58400_W400,BEAR_CALL,786.0,106.8,BEAR_CALL_BNF_58000_59000_W1000,BEAR_CALL,1485.0,16.78234650399827
1455,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_57000_56200_W800,secondary,BULL_PUT,500.2301025390625,-1504.5,BEAR_CALL_BNF_58000_58400_W400,BEAR_CALL,718.5,53.4,BEAR_CALL_BNF_58000_59000_W1000,BEAR_CALL,1341.0,16.78234650399827
1456,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,522.015380859375,-925.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,562.5,122.1,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1113.0,16.78234650399827
1457,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,519.9075317382812,-981.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,616.5,157.35,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1261.5,16.78234650399827
1458,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,516.5120239257812,-988.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,621.0,144.75,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1233.0,16.78234650399827
